nom_com,code_insee_com,nom_poll,moyenne_pollution,Tmax_med,Force_vent_med
SAINT-ESTEVE,66172,O3,66.47,19.45,4.5
ALBI,81004,NO,2.74,18.6,2.4
ALBI,81004,NO2,10.0,18.6,2.4
ALBI,81004,NOX,14.58,18.6,2.4
ALBI,81004,PM10,12.94,18.6,2.4
ALBI,81004,PM2.5,9.67,18.6,2.4
CASTRES,81065,NO,1.62,20.4,2.1
CASTRES,81065,NO2,5.76,20.4,2.1
CASTRES,81065,NOX,8.02,20.4,2.1
CASTRES,81065,O3,54.74,20.4,2.1
CASTRES,81065,PM10,12.7,20.4,2.1
CASTRES,81065,PM2.5,8.67,20.4,2.1
MONTAUBAN,82121,NO,9.24,18.6,2.2
MONTAUBAN,82121,NO2,14.05,18.6,2.2
MONTAUBAN,82121,NOX,26.35,18.6,2.2
MONTAUBAN,82121,O3,49.19,18.6,2.2
MONTAUBAN,82121,PM10,12.87,18.6,2.2
MONTAUBAN,82121,PM2.5,9.69,18.6,2.2
SAINT-GIRONS,9261,NO,3.5,17.5,2.0
SAINT-GIRONS,9261,NO2,8.1,17.5,2.0
SAINT-GIRONS,9261,NOX,13.77,17.5,2.0
SAINT-GIRONS,9261,O3,48.51,17.5,2.0
SAINT-GIRONS,9261,PM10,11.77,17.5,2.0
SAINT-GIRONS,9261,PM2.5,7.48,17.5,2.0
