nom_com,code_insee_com,nom_dept,nom_poll,moyenne_pollution,Tmax_med,Tmin_med,Force_vent_med,RR_med,Insolation_med,Rayonnement_med
BEZIERS,34032,HERAULT,NO,10.82,19.5,9.5,4.0,48.05,4299.0,14539.5
BEZIERS,34032,HERAULT,NO2,17.61,19.5,9.5,4.0,48.05,4299.0,14539.5
BEZIERS,34032,HERAULT,NOX,34.28,19.5,9.5,4.0,48.05,4299.0,14539.5
BEZIERS,34032,HERAULT,PM10,13.06,19.5,9.5,4.0,48.05,4299.0,14539.5
BEZIERS,34032,HERAULT,PM2.5,8.2,19.5,9.5,4.0,48.05,4299.0,14539.5
CORNEILHAN,34084,HERAULT,O3,65.52,19.5,9.5,3.1,43.0,4299.0,14539.5
LATTES,34129,HERAULT,O3,60.32,19.9,10.95,2.6,39.4,4690.0,15794.0
LUNEL-VIEL,34146,HERAULT,NO,3.18,20.4,9.7,2.5,44.0,4205.0,15149.0
LUNEL-VIEL,34146,HERAULT,NO2,8.01,20.4,9.7,2.5,44.0,4205.0,15149.0
LUNEL-VIEL,34146,HERAULT,NOX,12.82,20.4,9.7,2.5,44.0,4205.0,15149.0
LUNEL-VIEL,34146,HERAULT,PM10,13.03,20.4,9.7,2.5,44.0,4205.0,15149.0
LUNEL-VIEL,34146,HERAULT,PM2.5,8.22,20.4,9.7,2.5,44.0,4205.0,15149.0
MONTPELLIER,34172,HERAULT,NO,23.7,19.0,9.9,2.6,44.0,4690.0,15794.0
MONTPELLIER,34172,HERAULT,NO2,26.1,19.0,9.9,2.6,44.0,4690.0,15794.0
MONTPELLIER,34172,HERAULT,NOX,66.04,19.0,9.9,2.6,44.0,4690.0,15794.0
MONTPELLIER,34172,HERAULT,O3,54.31,19.0,9.9,2.6,44.0,4690.0,15794.0
MONTPELLIER,34172,HERAULT,PM10,20.19,19.0,9.9,2.6,44.0,4690.0,15794.0
MONTPELLIER,34172,HERAULT,PM2.5,10.04,19.0,9.9,2.6,44.0,4690.0,15794.0
SAINT-GELY-DU-FESC,34255,HERAULT,O3,63.89,19.8,8.0,2.2,76.0,4690.0,15794.0
SETE,34301,HERAULT,NO,6.67,17.9,11.6,4.8,31.2,4104.0,14498.0
SETE,34301,HERAULT,NO2,19.12,17.9,11.6,4.8,31.2,4104.0,14498.0
SETE,34301,HERAULT,NOX,22.94,17.9,11.6,4.8,31.2,4104.0,14498.0
BIARS-SUR-CERE,46029,LOT,PM10,12.35,19.95,7.0,2.6,99.95,NA,NA
BIARS-SUR-CERE,46029,LOT,PM2.5,8.35,19.95,7.0,2.6,99.95,NA,NA
MENDE,48095,LOZERE,PM10,7.52,16.1,4.7,2.6,67.0,3506.5,12843.0
MENDE,48095,LOZERE,PM2.5,5.58,16.1,4.7,2.6,67.0,3506.5,12843.0
ARGELES-GAZOST,65025,HAUTES-PYRENEES,NO,5.84,18.9,8.2,2.0,67.8,3156.0,12814.0
ARGELES-GAZOST,65025,HAUTES-PYRENEES,NO2,10.02,18.9,8.2,2.0,67.8,3156.0,12814.0
ARGELES-GAZOST,65025,HAUTES-PYRENEES,NOX,18.92,18.9,8.2,2.0,67.8,3156.0,12814.0
ARGELES-GAZOST,65025,HAUTES-PYRENEES,O3,44.11,18.9,8.2,2.0,67.8,3156.0,12814.0
ARGELES-GAZOST,65025,HAUTES-PYRENEES,PM10,14.55,18.9,8.2,2.0,67.8,3156.0,12814.0
ARGELES-GAZOST,65025,HAUTES-PYRENEES,PM2.5,8.75,18.9,8.2,2.0,67.8,3156.0,12814.0
ESCALA,65159,HAUTES-PYRENEES,NO,1.02,16.15,6.45,2.6,92.8,3276.0,13039.0
ESCALA,65159,HAUTES-PYRENEES,NO2,5.43,16.15,6.45,2.6,92.8,3276.0,13039.0
ESCALA,65159,HAUTES-PYRENEES,NOX,6.96,16.15,6.45,2.6,92.8,3276.0,13039.0
ESCALA,65159,HAUTES-PYRENEES,PM10,9.52,16.15,6.45,2.6,92.8,3276.0,13039.0
ESCALA,65159,HAUTES-PYRENEES,PM2.5,6.14,16.15,6.45,2.6,92.8,3276.0,13039.0
LOURDES,65286,HAUTES-PYRENEES,NO,3.79,18.5,7.0,2.5,57.65,3156.0,12814.0
LOURDES,65286,HAUTES-PYRENEES,NO2,9.57,18.5,7.0,2.5,57.65,3156.0,12814.0
