nom_dept,nom_com,code_insee_com,polluant,conc_moyenne,niveau_vie,pct_appartements,population
HERAULT,MONTPELLIER,34172,NO2,26.1,19670,86.9,310240
HERAULT,MONTPELLIER,34172,NOX,66.04,19670,86.9,310240
HERAULT,MONTPELLIER,34172,O3,54.31,19670,86.9,310240
HERAULT,MONTPELLIER,34172,PM10,20.19,19670,86.9,310240
HERAULT,MONTPELLIER,34172,PM2.5,10.04,19670,86.9,310240
GARD,NIMES,30189,NO,8.68,18760,69.5,151839
GARD,NIMES,30189,NO2,18.21,18760,69.5,151839
GARD,NIMES,30189,NOX,27.33,18760,69.5,151839
GARD,NIMES,30189,O3,56.48,18760,69.5,151839
GARD,NIMES,30189,PM10,15.82,18760,69.5,151839
GARD,NIMES,30189,PM2.5,8.69,18760,69.5,151839
PYRENEES-ORIENTALES,PERPIGNAN,66136,NO,29.18,17380,73.2,121616
PYRENEES-ORIENTALES,PERPIGNAN,66136,NO2,25.47,17380,73.2,121616
PYRENEES-ORIENTALES,PERPIGNAN,66136,NOX,81.76,17380,73.2,121616
PYRENEES-ORIENTALES,PERPIGNAN,66136,O3,61.36,17380,73.2,121616
PYRENEES-ORIENTALES,PERPIGNAN,66136,PM10,18.27,17380,73.2,121616
PYRENEES-ORIENTALES,PERPIGNAN,66136,PM2.5,8.13,17380,73.2,121616
GERS,PEYRUSSE-VIEILLE,32317,NO,0.15,N/A - secret statistique,2.1,63
GERS,PEYRUSSE-VIEILLE,32317,NO2,0.88,N/A - secret statistique,2.1,63
GERS,PEYRUSSE-VIEILLE,32317,NOX,1.05,N/A - secret statistique,2.1,63
GERS,PEYRUSSE-VIEILLE,32317,O3,63.61,N/A - secret statistique,2.1,63
GERS,PEYRUSSE-VIEILLE,32317,PM10,9.38,N/A - secret statistique,2.1,63
GERS,PEYRUSSE-VIEILLE,32317,PM2.5,6.06,N/A - secret statistique,2.1,63
AVEYRON,RODEZ,12202,NO,5.02,22210,81.9,23981
AVEYRON,RODEZ,12202,NO2,10.03,22210,81.9,23981
AVEYRON,RODEZ,12202,NOX,17.87,22210,81.9,23981
AVEYRON,RODEZ,12202,O3,60.96,22210,81.9,23981
AVEYRON,RODEZ,12202,PM10,10.79,22210,81.9,23981
AVEYRON,RODEZ,12202,PM2.5,6.68,22210,81.9,23981
PYRENEES-ORIENTALES,SAINT-ESTEVE,66172,O3,66.47,22170,28.1,11630
HAUTE-GARONNE,SAINT-GAUDENS,31483,H2S,0.84,19530,49.4,12139
HAUTE-GARONNE,SAINT-GAUDENS,31483,SO2,0.42,19530,49.4,12139
HERAULT,SAINT-GELY-DU-FESC,34255,O3,63.89,29940,17.4,10472
ARIEGE,SAINT-GIRONS,9261,NO,3.5,20320,42.6,6008
ARIEGE,SAINT-GIRONS,9261,NO2,8.1,20320,42.6,6008
ARIEGE,SAINT-GIRONS,9261,NOX,13.77,20320,42.6,6008
ARIEGE,SAINT-GIRONS,9261,O3,48.51,20320,42.6,6008
ARIEGE,SAINT-GIRONS,9261,PM10,11.77,20320,42.6,6008
ARIEGE,SAINT-GIRONS,9261,PM2.5,7.48,20320,42.6,6008
GARD,SAZE,30315,O3,59.7,24560,13.9,2096
HERAULT,SETE,34301,NO,6.67,19960,81.9,45337
HERAULT,SETE,34301,NO2,19.12,19960,81.9,45337
HERAULT,SETE,34301,NOX,22.94,19960,81.9,45337
HAUTES-PYRENEES,TARBES,65440,NO,6.97,19070,75.3,44399
HAUTES-PYRENEES,TARBES,65440,NO2,12.99,19070,75.3,44399
HAUTES-PYRENEES,TARBES,65440,NOX,23.66,19070,75.3,44399
HAUTES-PYRENEES,TARBES,65440,O3,51.1,19070,75.3,44399
HAUTES-PYRENEES,TARBES,65440,PM10,13.78,19070,75.3,44399
HAUTES-PYRENEES,TARBES,65440,PM2.5,9.62,19070,75.3,44399
HAUTE-GARONNE,TOULOUSE,31555,NO,21.21,22140,83.8,514819
HAUTE-GARONNE,TOULOUSE,31555,NO2,24.1,22140,83.8,514819
HAUTE-GARONNE,TOULOUSE,31555,NOX,55.79,22140,83.8,514819
HAUTE-GARONNE,TOULOUSE,31555,O3,55.15,22140,83.8,514819
HAUTE-GARONNE,TOULOUSE,31555,PM10,16.33,22140,83.8,514819
HAUTE-GARONNE,TOULOUSE,31555,PM2.5,9.42,22140,83.8,514819
