nom_dept,nom_com,code_insee_com,polluant,concentration_moyenne,concentration_min,concentration_max,nb_mesures
HAUTES-PYRENEES,TARBES,65440,PM10,13.78,2.6,95.1,897
HAUTES-PYRENEES,TARBES,65440,PM2.5,9.62,1.1,58.3,1546
HERAULT,AGDE,34003,NO,0.99,-0.3,4.3,1204
HERAULT,AGDE,34003,NO2,5.72,-0.7,16.3,1549
HERAULT,AGDE,34003,NOX,7.29,0.4,22.8,1545
HERAULT,AGDE,34003,O3,68.42,23.1,126.3,1904
HERAULT,AGDE,34003,PM10,12.84,2.7,61.2,440
HERAULT,AGDE,34003,PM2.5,7.47,1.1,40.0,447
HERAULT,BEZIERS,34032,NO,10.82,-0.9,125.1,495
HERAULT,BEZIERS,34032,NO2,17.61,2.2,49.6,1188
HERAULT,BEZIERS,34032,NOX,34.28,2.0,241.0,1170
HERAULT,BEZIERS,34032,PM10,13.06,2.8,39.1,161
HERAULT,BEZIERS,34032,PM2.5,8.2,0.9,34.0,507
HERAULT,CORNEILHAN,34084,O3,65.52,17.1,116.4,1892
HERAULT,LATTES,34129,O3,60.32,6.9,116.0,882
HERAULT,LUNEL-VIEL,34146,NO,3.18,-0.4,23.0,1231
HERAULT,LUNEL-VIEL,34146,NO2,8.01,0.5,29.8,1535
HERAULT,LUNEL-VIEL,34146,NOX,12.82,0.6,58.7,1540
HERAULT,LUNEL-VIEL,34146,PM10,13.03,2.1,91.6,910
HERAULT,LUNEL-VIEL,34146,PM2.5,8.22,0.7,40.7,1573
HERAULT,MONTPELLIER,34172,NO,23.7,-0.8,231.4,4482
HERAULT,MONTPELLIER,34172,NO2,26.1,1.4,91.7,6781
HERAULT,MONTPELLIER,34172,NOX,66.04,2.2,438.0,5775
HERAULT,MONTPELLIER,34172,O3,54.31,6.3,122.7,1792
HERAULT,MONTPELLIER,34172,PM10,20.19,2.8,119.0,2208
HERAULT,MONTPELLIER,34172,PM2.5,10.04,0.9,47.0,3447
HERAULT,SAINT-GELY-DU-FESC,34255,O3,63.89,14.6,124.6,1716
HERAULT,SETE,34301,NO,6.67,1.0,53.2,188
HERAULT,SETE,34301,NO2,19.12,1.6,97.3,697
HERAULT,SETE,34301,NOX,22.94,5.2,130.4,188
LOT,BIARS-SUR-CERE,46029,PM10,12.35,2.6,51.1,338
LOT,BIARS-SUR-CERE,46029,PM2.5,8.35,1.4,33.7,338
LOZERE,MENDE,48095,PM10,7.52,1.1,29.2,388
LOZERE,MENDE,48095,PM2.5,5.58,0.7,26.8,388
PYRENEES-ORIENTALES,BOLQUERE,66020,PM10,9.24,0.4,175.4,558
PYRENEES-ORIENTALES,BOLQUERE,66020,PM2.5,5.22,0.3,39.5,557
PYRENEES-ORIENTALES,PERPIGNAN,66136,NO,29.18,4.7,124.4,1209
PYRENEES-ORIENTALES,PERPIGNAN,66136,NO2,25.47,1.8,74.0,3650
PYRENEES-ORIENTALES,PERPIGNAN,66136,NOX,81.76,20.0,253.9,1888
PYRENEES-ORIENTALES,PERPIGNAN,66136,O3,61.36,11.7,116.8,2231
PYRENEES-ORIENTALES,PERPIGNAN,66136,PM10,18.27,2.0,119.3,1795
PYRENEES-ORIENTALES,PERPIGNAN,66136,PM2.5,8.13,0.8,34.2,1524
PYRENEES-ORIENTALES,SAINT-ESTEVE,66172,O3,66.47,18.2,125.1,2129
TARN,ALBI,81004,NO,2.74,0.2,42.5,1241
TARN,ALBI,81004,NO2,10.0,1.7,36.7,2204
TARN,ALBI,81004,NOX,14.58,2.0,102.0,1878
TARN,ALBI,81004,PM10,12.94,2.6,98.7,898
TARN,ALBI,81004,PM2.5,9.67,2.3,34.2,102
TARN,CASTRES,81065,NO,1.62,-0.1,14.3,1206
TARN,CASTRES,81065,NO2,5.76,-0.2,20.4,1217
TARN,CASTRES,81065,NOX,8.02,0.4,37.2,1229
TARN,CASTRES,81065,O3,54.74,4.1,123.3,1846
TARN,CASTRES,81065,PM10,12.7,3.4,91.4,915
TARN,CASTRES,81065,PM2.5,8.67,1.6,40.5,935
TARN-ET-GARONNE,MONTAUBAN,82121,NO,9.24,-0.8,91.0,1694
TARN-ET-GARONNE,MONTAUBAN,82121,NO2,14.05,1.6,42.9,1687
TARN-ET-GARONNE,MONTAUBAN,82121,NOX,26.35,1.7,182.0,2232
TARN-ET-GARONNE,MONTAUBAN,82121,O3,49.19,3.9,97.2,2193
TARN-ET-GARONNE,MONTAUBAN,82121,PM10,12.87,2.7,75.3,916
TARN-ET-GARONNE,MONTAUBAN,82121,PM2.5,9.69,1.5,52.6,1888
